name,rate,Mean Rating,cuisines,cost
Foodiction,2.8,1.96,north indian fast food chinese burger,500.0
Sweet Truth,3.9,3.52,bakery desserts,500.0
Ovenstory Pizza,3.9,3.57,pizza,750.0
Faasos,4.2,3.65,north indian biryani fast food,500.0
Behrouz Biryani,3.9,3.59,biryani,650.0
Fast And Fresh,2.8,1.89,north indian chinese fast food,400.0
Szechuan Dragon,4.2,3.96,chinese thai momos,600.0
Empire Restaurant,4.4,3.94,north indian mughlai south indian chinese,750.0
Maruthi Davangere Benne Dosa,4.0,3.67,south indian,150.0
Chaatimes,3.8,3.39,street food fast food,200.0
Havyaka Mess,3.9,3.52,south indian,300.0
McDonald's,3.9,3.42,burger fast food,500.0
Domino's Pizza,3.9,3.18,pizza fast food,800.0
Onesta,4.6,4.44,pizza cafe italian,600.0
Hotboxit,3.8,3.37,north indian continental italian,400.0
Kitchen Garden,3.6,3.07,north indian chinese,300.0
Recipe,4.0,3.67,north indian chinese biryani rolls,450.0
Beijing Bites,3.7,2.23,chinese thai,850.0
Tasty Bytes,3.1,2.33,north indian chinese momos rolls,300.0
Petoo,3.7,3.39,north indian,450.0
Shree Cool Point,4.1,3.81,fast food street food beverages,150.0
Corner House Ice Cream,4.3,4.14,ice cream desserts,400.0
Biryanis And More,4.0,3.72,biryani north indian chinese andhra south indian,750.0
Roving Feast,4.0,3.67,italian continental fast food chinese momos,450.0
FreshMenu,3.9,3.04,healthy food chinese biryani north indian continental salad american burger,450.0
Banashankari Donne Biriyani,3.8,3.37,biryani fast food,300.0
Wamama,4.2,3.96,asian korean indonesian japanese chinese thai momos,800.0
Five Star Chicken,3.6,2.94,fast food burger,200.0
XO Belgian Waffle,3.7,3.72,desserts beverages,400.0
Peppy Peppers,4.2,3.96,italian north indian mexican,800.0
Goa 0 Km,3.6,3.07,goan seafood north indian chinese biryani,800.0
Chinese Kitchen,3.8,3.37,chinese,150.0
1947,4.0,3.76,north indian chinese,850.0
Cake of the Day,3.7,3.22,bakery,150.0
Kabab Magic,4.1,3.44,north indian kebab chinese fast food,400.0
Namma Brahmin's Idli,3.6,3.07,south indian,100.0
Gustoes Beer House,4.1,3.81,continental italian mexican north indian chinese steak,1.2
Sugar Rush,3.8,3.37,bakery desserts,300.0
Burger King,3.2,3.03,burger fast food beverages,600.0
The Good Bowl,3.6,3.07,italian north indian biryani,500.0
The Biryani Cafe,4.1,3.81,biryani chinese kebab,300.0
LSD Cafe,2.9,2.04,chinese continental italian north indian,700.0
Rolls On Wheels,3.6,2.88,fast food rolls momos,300.0
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,3.81,south indian,150.0
Devanna Dum Biriyani Centre,3.6,3.07,biryani south indian,300.0
Kolbeh,3.7,3.22,fast food,500.0
Upahar Sagar,3.8,3.37,south indian chinese north indian,350.0
Kadalu Sea Food Restaurant,3.8,3.37,seafood north indian chinese andhra biryani kebab,500.0
Frozen Bottle,4.2,3.59,beverages desserts ice cream,400.0
Parimala Sweets,3.5,2.93,mithai street food,200.0
Vaishali Deluxe,3.8,3.37,north indian chinese,700.0
The Big O Bakes,4.0,3.67,bakery desserts,300.0
Meghana Foods,4.4,4.31,biryani north indian chinese,600.0
Krishna Sagar,3.5,2.93,north indian,200.0
Dessert Rose,3.5,2.93,desserts,500.0
Chickpet Donne Biryani House,3.7,3.3,biryani,250.0
Thanco's Natural Ice Creams,3.2,2.48,ice cream,300.0
Nandhini Deluxe,2.6,2.42,north indian,600.0
Vi Ra's Bar and Restaurant,3.3,2.63,south indian north indian chinese,800.0
Kaggis,3.8,3.37,fast food bakery,250.0
Ayda Persian Kitchen,3.7,3.22,north indian iranian,950.0
Chatar Patar,3.7,3.22,fast food street food,300.0
Polar Bear,3.8,3.47,ice cream desserts beverages sandwich,400.0
Kidambi's Kitchen,3.5,2.93,south indian,300.0
Mane Thindi,3.7,3.22,south indian,200.0
Kotian Karavali Restaurant,3.5,2.93,south indian biryani,300.0
Floured-Baked With Love,3.8,3.37,bakery,400.0
CAFE NOVA,3.2,2.48,cafe bakery,600.0
Cakes & Slices,3.5,2.93,bakery desserts,300.0
Spice 9,3.4,2.78,biryani north indian chinese fast food,300.0
Naveen Kabab & Biriyani Mane,3.2,2.48,biryani,300.0
Katriguppe Donne Biryani,3.2,2.48,north indian,300.0
Atithi Point Ande Ka Funda,3.1,2.33,north indian,150.0
Just Bake,3.4,2.48,bakery desserts,400.0
K27 - The Pub,3.1,2.33,chinese north indian,1.0
Bengaluru Coffee House,4.1,3.81,south indian north indian chinese street food,300.0
New Mangalore Lunch Home,3.3,2.63,mangalorean south indian north indian,200.0
Coffee Bytes,3.1,2.33,fast food south indian,100.0
Parjanya Chat Zone,3.3,2.63,street food fast food,200.0
Kwality Wall's Swirl's Happiness Station,2.9,2.04,ice cream desserts,200.0
Ruchi Maayaka,3.3,2.63,south indian,100.0
Anna Kuteera,4.0,3.67,south indian north indian chinese,450.0
Darbar,3.0,2.19,north indian chinese,800.0
Vijayalakshmi,3.9,3.52,south indian,200.0
Sri Udupi Food Hub,4.1,3.81,south indian north indian chinese beverages,500.0
Udupi Upahar,3.8,3.37,south indian chinese north indian juices,300.0
House Of Kebabs,3.8,3.37,north indian kebab biryani chinese,650.0
Roll N Rock,3.8,3.3,chinese north indian mughlai rolls,400.0
BOX8- Desi Meals,4.1,3.81,north indian mughlai fast food,500.0
KFC,3.8,3.26,burger fast food,450.0
Roll Over,4.1,3.81,desserts ice cream beverages fast food sandwich,500.0
Imperial Restaurant,3.7,3.22,north indian chinese biryani beverages,750.0
Lassi Shop,3.9,3.26,beverages juices ice cream,150.0
The Fortuna,3.0,2.19,north indian chinese,250.0
Wahab,3.7,3.22,north indian mughlai chinese,350.0
Al Diwan Biryanis And More,3.3,2.63,biryani,300.0
New Gowda's Fried Chicken,3.3,2.63,biryani,300.0
Canton,3.6,3.07,chinese seafood biryani,800.0
Diabetics Dezire Sugarless Sweets and Bakes,3.3,2.63,desserts mithai,300.0
The Blue Wagon - Kitchen,4.6,4.56,cafe beverages,400.0
HOT COFFEE,4.1,3.81,south indian chinese,150.0
Patio 805,4.1,3.81,thai vietnamese asian chinese,1.2
Lassi Corner,3.7,3.27,beverages ice cream,150.0
Sagar Deluxe,3.2,2.48,south indian north indian chinese juices,300.0
Kanti Sweets,4.0,3.54,mithai street food,400.0
Vegetalia,3.7,3.22,italian pizza,400.0
Aramane Donne Biryani,3.5,2.53,biryani,200.0
Ande Ka Funda,3.8,3.07,north indian fast food rolls,250.0
Cake Ghar,3.8,3.37,bakery,400.0
Energy Addaa,4.2,3.96,salad healthy food sandwich juices burger desserts pizza,500.0
Bhattara Bhojana,3.6,3.07,south indian,150.0
Tandoori Knight,3.0,2.19,north indian chinese biryani kebab,450.0
Dev Sagar - Food Street,4.1,3.81,street food,200.0
Mitraa Da Pizza,3.8,3.37,fast food pizza,250.0
Paradise Premium,3.1,2.33,biryani andhra hyderabadi north indian,700.0
Grazers,3.9,3.52,cafe burger continental italian desserts,650.0
Shakes Theory,4.5,4.41,beverages sandwich,300.0
@Italy,4.1,3.81,italian,700.0
Chilli Flakes,3.6,3.07,fast food italian beverages,500.0
Calcutta Cafe,3.5,2.93,bengali chinese sandwich,350.0
Old Mumbai Ice Cream,3.9,3.48,ice cream,150.0
Donne Biriyani House,3.9,3.05,south indian north indian chinese biryani,400.0
By 2 Coffee,3.9,3.62,south indian,100.0
Kedia's Fun Food,4.3,4.11,north indian street food juices,200.0
Davangere Butter Dosa Hotel,3.8,3.37,south indian,150.0
Just Shawarma,3.9,3.43,arabian,300.0
Mini Punjabi Dhaba,4.2,3.96,north indian,350.0
Mulabagilu Dosa,3.6,3.07,south indian,100.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1,3.81,cafe,500.0
Gokul Veg,3.8,3.37,north indian chinese beverages,750.0
Olive - Era,3.3,2.63,bbq arabian rolls chinese north indian juices kebab desserts,550.0
Udupi Ruchi,3.9,3.48,south indian north indian chinese street food,200.0
Madhappa Hindu Military Hotel,3.4,2.78,south indian,300.0
Gama Gama,3.9,3.52,south indian,200.0
The Vintage Cafe,3.0,2.19,cafe french north indian,400.0
Pizza Hut,3.8,2.42,pizza fast food,750.0
Mangalore Pearl,3.8,3.37,mangalorean seafood chinese biryani,650.0
Asha Sweets Centre,3.6,3.16,fast food,250.0
Twiststick House,4.1,3.81,continental fast food street food momos,500.0
Cool Corner,4.2,3.96,street food fast food,250.0
Pizza Mane,3.5,2.93,pizza sandwich burger fast food,150.0
Dal Tadkaa,2.5,1.44,north indian,500.0
Chutney Chang,4.1,3.81,north indian chinese bbq,1.5
Mystique Palate,4.1,3.81,chinese fast food,300.0
Thamboola,3.9,3.52,north indian chinese continental,800.0
Castle Rock,3.6,3.07,north indian chinese,700.0
Vietnamese Kitchen,3.6,3.07,vietnamese,700.0
Smacznego,4.2,3.96,cafe mexican italian momos beverages,550.0
C Corner,3.2,2.48,fast food street food,200.0
Paratha Merchant,3.1,2.33,north indian,300.0
North Rasoe,3.1,2.33,north indian chinese biryani kebab,500.0
Toscano,4.3,4.11,italian salad,1.3
Lord Of The Kitchen,3.9,3.52,north indian chinese,350.0
Stoned Monkey,4.3,3.91,desserts ice cream,500.0
Central Jail Restaurant,3.8,3.32,andhra seafood north indian chinese,700.0
Bella,3.9,3.52,mangalorean seafood south indian,1.0
Vennela Andhra Meals,3.0,2.19,andhra,400.0
New Prashanth Hotel,3.6,2.95,south indian biryani chinese north indian,750.0
The Grillo,2.8,1.89,south indian arabian chinese north indian seafood mangalorean,500.0
Re Malnad Nati Style Hotel,3.6,3.07,south indian,400.0
Karma Kaapi,4.4,4.26,beverages tea,250.0
Tiwari's,3.8,3.42,north indian street food,200.0
Pizza Stop,3.8,3.22,pizza italian,600.0
Biggies Burger 'n' More,3.6,3.57,cafe burger beverages,650.0
Srinathji's Cafe,3.8,3.37,north indian cafe chinese fast food,550.0
Kollapuri's,3.9,3.52,south indian mangalorean,450.0
Kadamba Classic,3.6,3.07,south indian,300.0
RS Shiv Sagar,3.7,3.22,north indian chinese south indian fast food juices,450.0
Kholi Mane,3.6,3.07,andhra south indian biryani north indian,450.0
Harshi Super Sandwich,3.8,3.37,fast food street food,150.0
Cake Yard,3.4,2.67,desserts,250.0
Rosewood International Hotel - Bar & Restaurant,3.6,3.07,north indian south indian andhra chinese,800.0
Sri Udupi Veg,3.3,2.63,south indian,250.0
Cake Art,3.5,2.93,bakery,400.0
Potato House,3.4,2.78,street food,200.0
Matru Sagar,3.7,3.12,south indian north indian,300.0
Ugadi,2.9,2.04,north indian chinese biryani andhra mangalorean,700.0
Sri Krishna Sweets,3.7,3.22,mithai desserts,250.0
In Time Cane Juice,3.5,2.93,juices beverages,100.0
Subway,3.7,3.03,salad fast food,600.0
Daal Roti,2.9,2.04,north indian chinese,250.0
The Lassi Park,4.1,3.81,juices desserts,200.0
Cafe Coffee Day,3.2,2.7,cafe fast food,900.0
A2B - Adyar Ananda Bhavan,3.8,3.07,south indian north indian chinese street food,400.0
Srikrishna Bhavan,3.8,3.37,south indian north indian chinese,300.0
Timepass Dinner,3.8,3.37,north indian,600.0
Green Gardenia,3.8,3.37,north indian chinese,700.0
J Spice,3.8,3.37,north indian chinese,750.0
Karavali Family Restaurant,3.5,2.93,seafood biryani south indian north indian chinese,500.0
Karavali Lunch Home,3.7,3.22,south indian mangalorean,350.0
Hatti Kaapi,4.0,3.67,south indian beverages,200.0
Kolkata Kathi Roll's,3.6,3.07,fast food rolls,250.0
Upahara Darshini,3.9,3.62,north indian chinese south indian fast food,600.0
The Chaat Shop,2.5,1.7,fast food,200.0
Anda Ka Funda,3.4,2.78,north indian chinese rolls,250.0
Shri Vinayaka Ice N Juice,3.2,2.6,beverages fast food,150.0
My Tea House,3.6,3.07,italian fast food cafe european,600.0
Ibaco,3.9,3.52,desserts,300.0
Jalaram Sweets,3.8,3.37,desserts mithai,250.0
Samskruti - Sanman Gardenia,4.1,3.81,north indian chinese south indian,550.0
Bendakaluru Bytes,3.2,2.48,fast food,300.0
Cocoa Bakes,3.6,3.07,bakery desserts,350.0
Chumma Delicious,3.7,3.22,south indian fast food,200.0
New Prashanth Hotel,3.9,2.95,biryani north indian seafood andhra,650.0
Dwaraka Grand,3.9,3.52,south indian chinese street food juices,500.0
Gufha - The President Hotel,4.1,3.81,north indian afghani mughlai,1.2
Cafe Vivacity,3.8,3.37,cafe,650.0
Tanna's Kitchen,3.1,2.33,italian chinese street food,250.0
Shree Mandarathi Grand,3.7,3.22,south indian north indian,400.0
Mojo Pizza - 2X Toppings,4.2,3.91,pizza,600.0
Iceberg Icecreams,4.0,3.67,desserts ice cream,250.0
South Kitchen,4.3,4.11,south indian,100.0
Chung Wah,3.7,3.47,chinese thai momos,850.0
Shanthi Sagar,3.1,2.83,south indian north indian chinese,400.0
Millet Mama,3.9,3.52,south indian healthy food,200.0
Bangarpet Chat Express,3.3,2.63,street food fast food,100.0
Prems Graama Bhojanam,4.3,4.11,south indian,400.0
Java City,2.6,1.59,cafe american pizza,450.0
Kamat Bugle Rock,3.9,3.52,south indian fast food,300.0
Woodee Pizza,3.7,2.48,cafe pizza fast food beverages,500.0
Puliyogare Point,4.2,3.96,south indian,100.0
Bangalore Agarwal Bhavan,3.9,3.52,street food north indian south indian,400.0
Rustic Stove,3.8,3.37,north indian south indian biryani beverages,900.0
Udupi Ruchi Grand,4.2,3.96,south indian north indian chinese street food,200.0
De Thaali,3.9,3.52,north indian chinese rolls,550.0
Spice Elephant,4.1,3.81,chinese north indian thai,800.0
Just Thindi,3.6,3.07,south indian,200.0
Matru Sagar,3.6,3.12,south indian north indian chinese,250.0
Vasanth Vihar - Since 1965,3.6,3.07,south indian street food,150.0
Sea Spice by 7 Star,4.0,3.67,seafood biryani beverages south indian north indian kebab,1.2
Desi Dawat,3.7,3.22,north indian fast food,400.0
Cafe Aira,4.1,3.81,cafe continental beverages desserts,500.0
Penthouse Cafe,4.0,3.67,cafe italian continental,700.0
Mast Punjabi,2.6,1.59,north indian chinese rolls biryani kebab,400.0
South Grand,3.4,2.78,south indian north indian chinese beverages,400.0
Catch-up-ino,3.9,3.52,cafe fast food continental chinese momos,800.0
The Pizzeria,2.8,1.89,pizza italian salad,800.0
Cafe Zone,3.9,3.52,fast food chinese rolls,300.0
Ruchis Point,3.8,3.37,fast food chinese,200.0
Firangi Bake,4.0,3.7,mexican italian,600.0
The Royal Corner - Pai Viceroy,4.2,3.96,north indian chinese,900.0
Hara Fine Dine,4.0,3.67,north indian chinese,800.0
Chocoberry,3.5,2.93,ice cream desserts beverages,400.0
Dakshin Grand,3.0,2.19,south indian north indian chinese street food,300.0
Sandwichwallas,3.7,3.37,fast food,200.0
Chai Mane,3.6,2.88,juices fast food,150.0
SLV Upachar,3.1,2.33,south indian chinese street food,250.0
Waffle-A-Go Go,3.9,3.52,fast food desserts ice cream,400.0
Cross Road Cafe,3.9,3.52,cafe fast food chinese,300.0
Anand Donne Biriyani,3.6,3.07,biryani,200.0
Seven Star,3.4,2.78,north indian chinese,250.0
Stop 'N' Joy,3.8,3.37,fast food,150.0
Sri Yaksha Shiv Sagar,3.6,3.07,north indian chinese,600.0
Fudge,3.8,3.07,desserts momos,200.0
Just Bunny,3.5,2.93,fast food,200.0
Bakers Town,3.8,3.22,cafe continental fast food,650.0
Shree Mahalakshmi Sweets,3.2,2.48,mithai street food,100.0
Kaapi Kendra,3.7,3.22,south indian,100.0
Ivy,3.8,3.37,north indian chinese fast food,600.0
The Airos,4.1,3.81,cafe italian pizza,650.0
Chai Kraft,4.1,3.81,beverages tea,100.0
Kirthi's Biryani,3.8,3.37,chinese cafe italian,700.0
South Point Pub,3.4,2.78,north indian seafood chinese,800.0
The Trundle,3.7,3.22,chinese thai continental north indian,700.0
The Krishna Grand Xpress,4.0,3.67,south indian fast food,350.0
Sri Krishna Darshini,3.1,2.33,south indian north indian chinese,200.0
Shringar Sweets & Snacks,3.5,2.93,mithai south indian street food fast food,200.0
Udupi Grand,3.8,3.37,south indian north indian chinese,300.0
Ganesh Grand,3.7,3.22,south indian north indian desserts,300.0
Shreyas Upahar & Burger Point,3.0,2.28,south indian burger,200.0
Coffee Tindi,3.8,3.37,cafe south indian,200.0
Little Cafe,3.7,3.22,cafe beverages,600.0
Mumbai Badam Milk & Lassi Center,3.6,3.07,beverages desserts,100.0
Sri Krishna Sagar,3.2,2.6,north indian chinese,400.0
Mylari Biryani Family Restaurant,3.7,3.22,biryani fast food,400.0
1980s Games Cafe,3.4,2.78,cafe fast food,400.0
Kadala Tarangaa,3.6,3.11,mangalorean seafood north indian,600.0
Namma Biryani,3.6,3.07,biryani chinese north indian,250.0
Nandhanu's Rasoi,3.0,2.19,chinese north indian,400.0
Hotel Pork Paradise,3.7,3.22,south indian,300.0
As On Fire,3.5,2.93,pizza fast food bbq,400.0
J K Fish Land,3.6,3.07,seafood mangalorean,300.0
Curry Leaves,4.1,3.81,andhra north indian chinese,800.0
Lassi Shop,3.5,3.26,beverages ice cream fast food,300.0
Magic Meals,3.7,3.22,fast food desserts beverages,400.0
Desi Cream Junction,3.7,3.22,chinese north indian pizza italian,650.0
Drunken Monkey,3.8,3.85,beverages fast food,400.0
Ruchi's Corner,2.7,1.74,fast food,200.0
Tandoori Bytes,3.6,3.07,north indian,700.0
Bangalore Donne Biriyani,3.2,2.48,south indian biryani,300.0
SGS Non Veg - Gundu Pulav,3.8,3.43,biryani fast food,400.0
Keventers,3.7,3.3,desserts beverages ice cream,400.0
Navi Food Point,3.6,3.07,fast food,200.0
Shawarma Inc,3.1,2.38,rolls lebanese,250.0
The Cafe Nuts and Bolts,3.0,2.19,cafe fast food chinese,500.0
AM WOW,3.4,2.78,beverages,100.0
Lalbagh Grand,3.0,2.23,south indian north indian chinese,250.0
Funjabi Curries,2.9,2.04,north indian,500.0
Eat Repeat,3.9,3.52,south indian,150.0
Salut,4.1,3.81,continental finger food seafood pizza,1.2
Nammura Donne Biriyani,3.5,2.83,biryani fast food,400.0
Lassi Stop,3.4,2.78,beverages fast food juices,150.0
Dakshin Kitchen,3.6,3.07,south indian,100.0
Sri Sai Cafe,3.5,2.93,south indian,200.0
Sri Sai 99 Variety Dosa,3.8,3.22,south indian,300.0
Utsav Restaurant,3.8,3.31,north indian chinese,300.0
Crunch and Munch,3.7,3.22,chinese street food ice cream,300.0
Food Geek,3.8,3.37,sandwich fast food rolls,350.0
Sri Krishna Aramane,3.7,3.22,south indian north indian chinese fast food,200.0
Great Indian Rolls,3.3,2.58,rolls,100.0
Chats Point,3.4,2.78,fast food street food,150.0
Food Point,3.5,2.93,north indian chinese,300.0
Swarga Ruchi,3.3,2.63,south indian,200.0
Kolkata King,3.4,2.88,fast food rolls,300.0
Sandwich Mama's And Frozen Monster,3.8,3.37,ice cream beverages fast food,250.0
New Rajadhani Spicy,3.7,3.22,north indian,700.0
Big Mishra Pedha,2.9,2.27,mithai,250.0
VEGeatz,3.4,2.78,south indian north indian,200.0
Foodizo,3.6,3.07,desserts fast food continental,300.0
Food Springs,4.0,3.67,south indian chinese,400.0
Chung's Chinese Corner,3.9,3.52,chinese,700.0
Eurasia Pasta and Barbeque by Little Italy,4.1,3.81,italian fast food salad bbq,1.2
Goli Vada Pav No. 1,3.7,3.07,street food,200.0
Ragoo's,3.9,3.52,italian pizza north indian salad,800.0
Pure & Natural,3.9,3.52,fast food continental beverages salad healthy food,500.0
Maiyas,4.0,3.67,north indian south indian fast food juices,200.0
Sip n Dine,3.6,3.07,north indian chinese south indian,800.0
Cafe Mondo,3.7,3.22,cafe italian beverages,600.0
Jalpaan,4.0,3.67,north indian continental,900.0
Kataria's Pakwan,3.2,2.48,north indian,400.0
Juicy Momos,3.5,2.73,tibetan momos,250.0
Amande Patisserie,4.0,3.67,bakery french desserts,300.0
Anand Sweets and Savouries,3.9,3.44,mithai street food,400.0
Chicken Hunt,3.5,2.93,south indian north indian chinese biryani,350.0
Swadesh Tadka,3.5,2.93,north indian chinese beverages,600.0
Cane-O-La,3.8,3.37,juices,100.0
New Biryani Mane,3.7,3.22,north indian chinese biryani south indian,450.0
Upahara Darshini,3.8,3.62,south indian north indian chinese,400.0
Karnataka Bhel House,4.1,3.81,street food,100.0
Sreeraj Lassi Bar,4.1,3.72,beverages,150.0
Juice Junction Food Court,3.7,3.26,juices south indian chinese fast food,200.0
Bunt's Biriyani Palace,3.0,2.19,north indian south indian chinese biryani seafood,400.0
Chai Point,3.2,2.96,tea beverages fast food,250.0
Janahaar,3.8,3.37,south indian,100.0
Redberrys,4.0,3.67,cafe italian,600.0
Utsav,3.7,3.22,north indian street food,200.0
Meat And Eat,3.1,2.63,fast food burger,500.0
Snacks Bite,3.0,2.19,fast food momos,400.0
The Spice Saga,3.7,3.22,biryani north indian chinese seafood,750.0
Dakshin Cafe,3.7,3.52,south indian,100.0
Kaulige Millet Corner,3.3,2.63,healthy food south indian,150.0
Ifruit Ice Cream,3.3,2.63,desserts ice cream,150.0
Havmor,3.8,3.19,ice cream desserts,200.0
Grand Food,3.4,2.78,south indian bakery chinese,250.0
Dining Hut,3.5,2.93,north indian chinese south indian,400.0
Desi Swaad,3.5,2.93,north indian,400.0
Yummy Momos,3.2,2.68,momos tibetan chinese,200.0
Masale Daan,3.1,2.33,north indian,350.0
Grow Fit,3.6,3.07,healthy food north indian thai,500.0
Sandwich Hub,3.4,2.78,fast food sandwich,300.0
Udupi Sri Krishna Cafe,3.9,3.52,north indian south indian,600.0
Starlite Bakery & Fastfood,3.7,3.22,north indian chinese rolls bakery arabian charcoal chicken desserts,300.0
Veganbreak24x7,2.8,1.89,south indian chinese continental biryani,199.0
Aadhya Hotel,3.3,2.63,south indian north indian chinese biryani,800.0
Dodda Mane Baaduta,3.5,2.93,north indian south indian chinese biryani,250.0
Swadd Kitchen,3.4,2.78,north indian fast food,500.0
Happy Chopsticks,3.6,3.07,chinese fast food,300.0
Udupi Upachar,3.3,2.63,south indian north indian,500.0
Davanagere Benne Dose Hut,3.4,2.78,south indian,100.0
Jalsa,4.1,3.81,north indian mughlai chinese,800.0
Subz,4.2,3.96,north indian south indian,1.0
Cafe Shuffle,4.2,3.96,cafe italian continental,600.0
Mint and Mustard,4.0,3.67,north indian chinese,750.0
Chinese Square,3.9,3.52,chinese,200.0
Punjabi Raswada,3.5,2.93,north indian,800.0
Vinny's,4.2,3.96,pizza italian continental desserts,800.0
Chetty's Corner,3.4,2.93,fast food burger pizza,200.0
Kapoor's Cafe,4.2,3.86,north indian,800.0
Donne Biryani & Kabab Corner,3.3,2.63,chinese biryani,200.0
Sukh Sagar,3.8,3.37,south indian north indian chinese street food,450.0
S M V Snacks Corner,3.7,3.22,fast food,200.0
Andhra Ruchulu,4.1,3.89,andhra biryani north indian chinese,1.0
Steaming Mugs,3.9,3.52,cafe,700.0
San Churro Cafe,3.8,3.37,cafe mexican italian,800.0
Rajathadri Food Fort,4.0,3.67,south indian north indian chinese street food,600.0
Brew Meister,4.1,3.81,north indian continental finger food american asian,1.5
Rasoi,3.3,2.63,north indian chinese,300.0
Mr. Singh Da Dhaba,3.6,3.07,north indian chinese,300.0
Kababs N Biryani,3.4,2.78,south indian,200.0
Ayodhya Upachar,4.3,4.11,south indian north indian chinese street food,200.0
Biriyani Mane,3.8,3.27,north indian biryani,400.0
Cafe Ajfan,4.2,3.96,cafe continental beverages,700.0
Brundhavana Food Point,4.0,3.67,south indian north indian chinese street food beverages,300.0
SLV Corner Restaurant,4.1,3.81,south indian chinese north indian street food rolls juices,550.0
Hotel New Karavali,3.8,3.37,mangalorean south indian north indian,300.0
The Krishna Grand,3.9,3.52,north indian south indian chinese fast food juices,750.0
360 Atoms Restaurant And Cafe,3.1,2.33,cafe chinese continental italian,400.0
Roti Ghar,3.9,3.52,north indian chinese south indian,500.0
The Coffee Shack,4.2,3.96,cafe chinese continental italian,500.0
Kettle & Kegs,3.2,2.53,tea beverages,200.0
Baisakhi,3.8,3.37,north indian,500.0
Corner House Ice Cream,4.3,4.14,ice cream desserts,400.0
Poonam Sweets,4.4,4.26,mithai,150.0
XO Belgian Waffle,3.7,3.72,desserts beverages,400.0
Old Mumbai Ice Cream,3.9,3.48,ice cream,150.0
Cake of the Day,3.7,3.22,bakery,150.0
Amma's Pastries,3.8,3.41,bakery,400.0
Kanti Sweets,4.0,3.54,mithai street food,400.0
Sugar Rush,3.8,3.37,bakery desserts,300.0
Polar Bear,3.9,3.47,ice cream desserts beverages sandwich,400.0
San Churro Cafe,3.8,3.37,cafe mexican italian,800.0
Anand Sweets and Savouries,3.7,3.44,mithai street food,400.0
Ibaco,3.9,3.52,desserts,300.0
Kirthi's Biryani,3.8,3.37,chinese cafe italian,700.0
The Lassi and Juice Park,3.8,3.37,juices desserts,150.0
Stoned Monkey,4.3,3.91,desserts ice cream,500.0
Parimala Sweets,3.5,2.93,mithai street food,200.0
The Big O Bakes,4.0,3.67,bakery desserts,300.0
Shree Mahalakshmi Sweets,3.2,2.48,mithai street food,100.0
Keventers,3.7,3.3,desserts beverages ice cream,400.0
Dessert Rose,3.5,2.93,desserts,500.0
Thanco's Natural Ice Creams,3.2,2.48,ice cream,300.0
Corner Stone,3.6,3.07,beverages juices desserts italian,300.0
Kaggis,3.8,3.37,fast food bakery,250.0
Cocoa Bakes,3.6,3.07,bakery desserts,350.0
Floured-Baked With Love,3.8,3.37,bakery,400.0
CAFE NOVA,3.2,2.48,cafe bakery,600.0
Cakes & Slices,3.5,2.93,bakery desserts,300.0
Arun Ice Cream,3.4,2.78,ice cream desserts,150.0
Just Bake,3.4,2.48,bakery desserts,400.0
